Date,Open,High,Low,Close
04/22/2021,"4,170.46","4,179.57","4,123.69","4,134.98"
04/21/2021,"4,128.42","4,175.02","4,126.35","4,173.42"
04/20/2021,"4,159.18","4,159.18","4,118.38","4,134.94"
04/19/2021,"4,179.80","4,180.81","4,150.47","4,163.26"
04/16/2021,"4,174.14","4,191.31","4,170.75","4,185.47"
04/15/2021,"4,139.76","4,173.49","4,139.76","4,170.42"
04/14/2021,"4,141.58","4,151.69","4,120.87","4,124.66"
04/13/2021,"4,130.10","4,148.00","4,124.43","4,141.59"
04-12-2021,"4,124.71","4,131.76","4,114.82","4,127.99"
04-09-2021,"4,096.11","4,129.48","4,095.51","4,128.80"
04-08-2021,"4,089.95","4,098.19","4,082.54","4,097.17"
04-07-2021,"4,074.29","4,083.13","4,068.31","4,079.95"
04-06-2021,"4,075.57","4,086.23","4,068.14","4,073.94"
04-05-2021,"4,034.44","4,083.42","4,034.44","4,077.91"
04-01-2021,"3,992.78","4,020.63","3,992.78","4,019.87"
03/31/2021,"3,967.25","3,994.41","3,966.98","3,972.89"
03/30/2021,"3,963.34","3,968.01","3,944.35","3,958.55"
03/29/2021,"3,969.31","3,981.83","3,943.25","3,971.09"
03/26/2021,"3,917.12","3,978.19","3,917.12","3,974.54"
03/25/2021,"3,879.34","3,919.54","3,853.50","3,909.52"
03/24/2021,"3,919.93","3,942.08","3,889.07","3,889.14"
03/23/2021,"3,937.60","3,949.13","3,901.57","3,910.52"
03/22/2021,"3,916.48","3,955.31","3,914.16","3,940.59"
03/19/2021,"3,913.14","3,930.12","3,886.75","3,913.10"
03/18/2021,"3,953.50","3,969.62","3,910.86","3,915.46"
03/17/2021,"3,949.57","3,983.87","3,935.74","3,974.12"
03/16/2021,"3,973.59","3,981.04","3,953.44","3,962.71"
03/15/2021,"3,942.96","3,970.08","3,923.54","3,968.94"
03-12-2021,"3,924.52","3,944.99","3,915.21","3,943.34"
03-11-2021,"3,915.54","3,960.27","3,915.54","3,939.34"
03-10-2021,"3,891.99","3,917.35","3,885.73","3,898.81"
03-09-2021,"3,851.93","3,903.76","3,851.93","3,875.44"
03-08-2021,"3,844.39","3,881.06","3,819.25","3,821.35"
03-05-2021,"3,793.58","3,851.69","3,730.19","3,841.94"
03-04-2021,"3,818.53","3,843.67","3,723.34","3,768.47"
03-03-2021,"3,863.99","3,874.47","3,818.86","3,819.72"
03-02-2021,"3,903.64","3,906.41","3,868.57","3,870.29"
03-01-2021,"3,842.51","3,914.50","3,842.51","3,901.82"
02/26/2021,"3,839.66","3,861.08","3,789.54","3,811.15"
02/25/2021,"3,915.80","3,925.02","3,814.04","3,829.34"
02/24/2021,"3,873.71","3,928.65","3,859.60","3,925.43"
02/23/2021,"3,857.07","3,895.98","3,805.59","3,881.37"
02/22/2021,"3,885.55","3,902.92","3,874.71","3,876.50"
02/19/2021,"3,921.16","3,930.41","3,903.07","3,906.71"
02/18/2021,"3,915.86","3,921.98","3,885.03","3,913.97"
02/17/2021,"3,918.50","3,933.61","3,900.43","3,931.33"
02/16/2021,"3,939.61","3,950.43","3,923.85","3,932.59"
02-12-2021,"3,911.65","3,937.23","3,905.78","3,934.83"
02-11-2021,"3,916.40","3,925.99","3,890.39","3,916.38"
02-10-2021,"3,920.78","3,931.50","3,884.94","3,909.88"
02-09-2021,"3,910.49","3,918.35","3,902.64","3,911.23"
02-08-2021,"3,892.59","3,915.77","3,892.59","3,915.59"
02-05-2021,"3,878.30","3,894.56","3,874.93","3,886.83"
02-04-2021,"3,836.66","3,872.42","3,836.66","3,871.74"
02-03-2021,"3,840.27","3,847.51","3,816.68","3,830.17"
02-02-2021,"3,791.84","3,843.09","3,791.84","3,826.31"
02-01-2021,"3,731.17","3,784.32","3,725.62","3,773.86"
01/29/2021,"3,778.05","3,778.05","3,694.12","3,714.24"
01/28/2021,"3,755.75","3,830.50","3,755.75","3,787.38"
01/27/2021,"3,836.83","3,836.83","3,732.48","3,750.77"
01/26/2021,"3,862.96","3,870.90","3,847.78","3,849.62"
01/25/2021,"3,851.68","3,859.23","3,797.16","3,855.36"
01/22/2021,"3,844.24","3,852.31","3,830.41","3,841.47"
01/21/2021,"3,857.46","3,861.45","3,845.05","3,853.07"
01/20/2021,"3,816.22","3,859.75","3,816.22","3,851.85"
01/19/2021,"3,781.88","3,804.53","3,780.37","3,798.91"
01/15/2021,"3,788.73","3,788.73","3,749.62","3,768.25"
01/14/2021,"3,814.98","3,823.60","3,792.86","3,795.54"
01/13/2021,"3,802.23","3,820.96","3,791.50","3,809.84"
01-12-2021,"3,801.62","3,810.78","3,776.51","3,801.19"
01-11-2021,"3,803.14","3,817.86","3,789.02","3,799.61"
01-08-2021,"3,815.05","3,826.69","3,783.60","3,824.68"
01-07-2021,"3,764.71","3,811.55","3,764.71","3,803.79"
01-06-2021,"3,712.20","3,783.04","3,705.34","3,748.14"
01-05-2021,"3,698.02","3,737.83","3,695.07","3,726.86"
01-04-2021,"3,764.61","3,769.99","3,662.71","3,700.65"
12/31/2020,"3,733.27","3,760.20","3,726.88","3,756.07"
12/30/2020,"3,736.19","3,744.63","3,730.21","3,732.04"
12/29/2020,"3,750.01","3,756.12","3,723.31","3,727.04"
12/28/2020,"3,723.03","3,740.51","3,723.03","3,735.36"
12/24/2020,"3,694.03","3,703.82","3,689.32","3,703.06"
12/23/2020,"3,693.42","3,711.24","3,689.28","3,690.01"
12/22/2020,"3,698.08","3,698.26","3,676.16","3,687.26"
12/21/2020,"3,684.28","3,702.90","3,636.48","3,694.92"
12/18/2020,"3,722.39","3,726.70","3,685.84","3,709.41"
12/17/2020,"3,713.65","3,725.12","3,710.87","3,722.48"
12/16/2020,"3,696.25","3,711.27","3,688.57","3,701.17"
12/15/2020,"3,666.41","3,695.29","3,659.62","3,694.62"
12/14/2020,"3,675.27","3,697.61","3,645.84","3,647.49"
12-11-2020,"3,656.08","3,665.91","3,633.40","3,663.46"
12-10-2020,"3,659.13","3,678.49","3,645.18","3,668.10"
12-09-2020,"3,705.98","3,712.39","3,660.54","3,672.82"
12-08-2020,"3,683.05","3,708.45","3,678.83","3,702.25"
12-07-2020,"3,694.73","3,697.41","3,678.88","3,691.96"
12-04-2020,"3,670.94","3,699.20","3,670.94","3,699.12"
12-03-2020,"3,668.28","3,682.73","3,657.17","3,666.72"
12-02-2020,"3,653.78","3,670.96","3,644.84","3,669.01"
12-01-2020,"3,645.87","3,678.45","3,645.87","3,662.45"
11/30/2020,"3,634.18","3,634.18","3,594.39","3,621.63"
11/27/2020,"3,638.55","3,644.31","3,629.33","3,638.35"
11/25/2020,"3,635.50","3,635.50","3,617.76","3,629.65"
11/24/2020,"3,594.52","3,642.31","3,594.52","3,635.41"
11/23/2020,"3,566.82","3,589.81","3,552.77","3,577.59"
11/20/2020,"3,579.31","3,581.23","3,556.85","3,557.54"
11/19/2020,"3,559.41","3,585.22","3,543.84","3,581.87"
11/18/2020,"3,612.09","3,619.09","3,567.33","3,567.79"
11/17/2020,"3,610.31","3,623.11","3,588.68","3,609.53"
11/16/2020,"3,600.16","3,628.51","3,600.16","3,626.91"
11/13/2020,"3,552.57","3,593.66","3,552.57","3,585.15"
11-12-2020,"3,562.67","3,569.02","3,518.58","3,537.01"
11-11-2020,"3,563.22","3,581.16","3,557.00","3,572.66"
11-10-2020,"3,543.26","3,557.22","3,511.91","3,545.53"
11-09-2020,"3,583.04","3,645.99","3,547.48","3,550.50"
11-06-2020,"3,508.34","3,521.58","3,484.34","3,509.44"
11-05-2020,"3,485.74","3,529.05","3,485.74","3,510.45"
11-04-2020,"3,406.46","3,486.25","3,405.17","3,443.44"
11-03-2020,"3,336.25","3,389.49","3,336.25","3,369.16"
11-02-2020,"3,296.20","3,330.14","3,279.74","3,310.24"
10/30/2020,"3,293.59","3,304.93","3,233.94","3,269.96"
10/29/2020,"3,277.17","3,341.05","3,259.82","3,310.11"
10/28/2020,"3,342.48","3,342.48","3,268.89","3,271.03"
10/27/2020,"3,403.15","3,409.51","3,388.71","3,390.68"
10/26/2020,"3,441.42","3,441.42","3,364.86","3,400.97"
10/23/2020,"3,464.90","3,466.46","3,440.45","3,465.39"
10/22/2020,"3,438.50","3,460.53","3,415.34","3,453.49"
10/21/2020,"3,439.91","3,464.86","3,433.06","3,435.56"
10/20/2020,"3,439.38","3,476.93","3,435.65","3,443.12"
10/19/2020,"3,493.66","3,502.42","3,419.93","3,426.92"
10/16/2020,"3,493.50","3,515.76","3,480.45","3,483.81"
10/15/2020,"3,453.72","3,489.08","3,440.89","3,483.34"
10/14/2020,"3,515.47","3,527.94","3,480.55","3,488.67"
10/13/2020,"3,534.01","3,534.01","3,500.86","3,511.93"
10-12-2020,"3,500.02","3,549.85","3,499.61","3,534.22"
10-09-2020,"3,459.67","3,482.34","3,458.07","3,477.13"
10-08-2020,"3,434.28","3,447.28","3,428.15","3,446.83"
10-07-2020,"3,384.56","3,426.26","3,384.56","3,419.45"
10-06-2020,"3,408.74","3,431.56","3,354.54","3,360.95"
10-05-2020,"3,367.27","3,409.57","3,367.27","3,408.63"
10-02-2020,"3,338.94","3,369.10","3,323.69","3,348.44"
10-01-2020,"3,385.87","3,397.18","3,361.39","3,380.80"
09/30/2020,"3,341.21","3,393.56","3,340.47","3,363.00"
09/29/2020,"3,350.92","3,357.92","3,327.54","3,335.47"
09/28/2020,"3,333.90","3,360.74","3,332.91","3,351.60"
09/25/2020,"3,236.66","3,306.88","3,228.44","3,298.46"
09/24/2020,"3,226.14","3,278.70","3,209.45","3,246.59"
09/23/2020,"3,320.11","3,323.35","3,232.57","3,236.92"
09/22/2020,"3,295.75","3,320.31","3,270.95","3,315.57"
09/21/2020,"3,285.57","3,285.57","3,229.10","3,281.06"
09/18/2020,"3,357.38","3,362.27","3,292.40","3,319.47"
09/17/2020,"3,346.86","3,375.17","3,328.82","3,357.01"
09/16/2020,"3,411.23","3,428.92","3,384.45","3,385.49"
09/15/2020,"3,407.73","3,419.48","3,389.25","3,401.20"
09/14/2020,"3,363.56","3,402.93","3,363.56","3,383.54"
09-11-2020,"3,352.70","3,368.95","3,310.47","3,340.97"
09-10-2020,"3,412.56","3,425.55","3,329.25","3,339.19"
09-09-2020,"3,369.82","3,424.77","3,366.84","3,398.96"
09-08-2020,"3,371.88","3,379.97","3,329.27","3,331.84"
09-04-2020,"3,453.60","3,479.15","3,349.63","3,426.96"
09-03-2020,"3,564.74","3,564.85","3,427.41","3,455.06"
09-02-2020,"3,543.76","3,588.11","3,535.23","3,580.84"
09-01-2020,"3,507.44","3,528.03","3,494.60","3,526.65"
08/31/2020,"3,509.73","3,514.77","3,493.25","3,500.31"
08/28/2020,"3,494.69","3,509.23","3,484.32","3,508.01"
08/27/2020,"3,485.14","3,501.38","3,468.35","3,484.55"
08/26/2020,"3,449.97","3,481.07","3,444.15","3,478.73"
08/25/2020,"3,435.95","3,444.21","3,425.84","3,443.62"
08/24/2020,"3,418.09","3,432.09","3,413.13","3,431.28"
08/21/2020,"3,386.01","3,399.96","3,379.31","3,397.16"
08/20/2020,"3,360.48","3,390.80","3,354.69","3,385.51"
08/19/2020,"3,392.51","3,399.54","3,369.66","3,374.85"
08/18/2020,"3,387.04","3,395.06","3,370.15","3,389.78"
08/17/2020,"3,380.86","3,387.59","3,379.22","3,381.99"
08/14/2020,"3,368.66","3,378.51","3,361.64","3,372.85"
08/13/2020,"3,372.95","3,387.24","3,363.35","3,373.43"
08-12-2020,"3,355.46","3,387.89","3,355.46","3,380.35"
08-11-2020,"3,370.34","3,381.01","3,326.44","3,333.69"
08-10-2020,"3,356.04","3,363.29","3,335.44","3,360.47"
08-07-2020,"3,340.05","3,352.54","3,328.72","3,351.28"
08-06-2020,"3,323.17","3,351.03","3,318.14","3,349.16"
08-05-2020,"3,317.37","3,330.77","3,317.37","3,327.77"
08-04-2020,"3,289.92","3,306.84","3,286.37","3,306.51"
08-03-2020,"3,288.26","3,302.73","3,284.53","3,294.61"
07/31/2020,"3,270.45","3,272.17","3,220.26","3,271.12"
07/30/2020,"3,231.76","3,250.92","3,204.13","3,246.22"
07/29/2020,"3,227.22","3,264.74","3,227.22","3,258.44"
07/28/2020,"3,234.27","3,243.72","3,216.17","3,218.44"
07/27/2020,"3,219.84","3,241.43","3,214.25","3,239.41"
07/24/2020,"3,218.58","3,227.26","3,200.05","3,215.63"
07/23/2020,"3,271.64","3,279.99","3,222.66","3,235.66"
07/22/2020,"3,254.86","3,279.32","3,253.10","3,276.02"
07/21/2020,"3,268.52","3,277.29","3,247.77","3,257.30"
07/20/2020,"3,224.29","3,258.61","3,215.16","3,251.84"
07/17/2020,"3,224.21","3,233.52","3,205.65","3,224.73"
07/16/2020,"3,208.36","3,220.39","3,198.59","3,215.57"
07/15/2020,"3,225.98","3,238.28","3,200.76","3,226.56"
07/14/2020,"3,141.11","3,200.95","3,127.66","3,197.52"
07/13/2020,"3,205.08","3,235.32","3,149.43","3,155.22"
07-10-2020,"3,152.47","3,186.82","3,136.22","3,185.04"
07-09-2020,"3,176.17","3,179.78","3,115.70","3,152.05"
07-08-2020,"3,153.07","3,171.80","3,136.53","3,169.94"
07-07-2020,"3,166.44","3,184.15","3,142.93","3,145.32"
07-06-2020,"3,155.29","3,182.59","3,155.29","3,179.72"
07-02-2020,"3,143.64","3,165.81","3,124.52","3,130.01"
07-01-2020,"3,105.92","3,128.44","3,101.17","3,115.86"
06/30/2020,"3,050.20","3,111.51","3,047.83","3,100.29"
06/29/2020,"3,018.59","3,053.89","2,999.74","3,053.24"
06/26/2020,"3,073.20","3,073.73","3,004.63","3,009.05"
06/25/2020,"3,046.60","3,086.25","3,024.01","3,083.76"
06/24/2020,"3,114.40","3,115.01","3,032.13","3,050.33"
06/23/2020,"3,138.70","3,154.90","3,127.12","3,131.29"
06/22/2020,"3,094.42","3,120.92","3,079.39","3,117.86"
06/19/2020,"3,140.29","3,155.53","3,083.11","3,097.74"
06/18/2020,"3,101.64","3,120.00","3,093.51","3,115.34"
06/17/2020,"3,136.13","3,141.16","3,108.03","3,113.49"
06/16/2020,"3,131.00","3,153.45","3,076.06","3,124.74"
06/15/2020,"2,993.76","3,079.76","2,965.66","3,066.59"
06-12-2020,"3,071.04","3,088.42","2,984.47","3,041.31"
06-11-2020,"3,123.53","3,123.53","2,999.49","3,002.10"
06-10-2020,"3,213.42","3,223.27","3,181.49","3,190.14"
06-09-2020,"3,213.32","3,222.71","3,193.11","3,207.18"
06-08-2020,"3,199.92","3,233.13","3,196.00","3,232.39"
06-05-2020,"3,163.84","3,211.72","3,163.84","3,193.93"
06-04-2020,"3,111.56","3,128.91","3,090.41","3,112.35"
06-03-2020,"3,098.90","3,130.94","3,098.90","3,122.87"
06-02-2020,"3,064.78","3,081.07","3,051.64","3,080.82"
06-01-2020,"3,038.78","3,062.18","3,031.54","3,055.73"
05/29/2020,"3,025.17","3,049.17","2,998.61","3,044.31"
05/28/2020,"3,046.61","3,068.67","3,023.40","3,029.73"
05/27/2020,"3,015.65","3,036.25","2,969.75","3,036.13"
05/26/2020,"3,004.08","3,021.72","2,988.17","2,991.77"
05/22/2020,"2,948.05","2,956.76","2,933.59","2,955.45"
05/21/2020,"2,969.95","2,978.50","2,938.57","2,948.51"
05/20/2020,"2,953.63","2,980.29","2,953.63","2,971.61"
05/19/2020,"2,948.59","2,964.21","2,922.35","2,922.94"
05/18/2020,"2,913.86","2,968.09","2,913.86","2,953.91"
05/15/2020,"2,829.95","2,865.01","2,816.78","2,863.70"
05/14/2020,"2,794.54","2,852.80","2,766.64","2,852.50"
05/13/2020,"2,865.86","2,874.14","2,793.15","2,820.00"
05-12-2020,"2,939.50","2,945.82","2,869.59","2,870.12"
05-11-2020,"2,915.46","2,944.25","2,903.44","2,930.32"
05-08-2020,"2,908.83","2,932.16","2,902.88","2,929.80"
05-07-2020,"2,878.26","2,901.92","2,876.48","2,881.19"
05-06-2020,"2,883.14","2,891.11","2,847.65","2,848.42"
05-05-2020,"2,868.88","2,898.23","2,863.55","2,868.44"
05-04-2020,"2,815.01","2,844.24","2,797.85","2,842.74"
05-01-2020,"2,869.09","2,869.09","2,821.61","2,830.71"
04/30/2020,"2,930.91","2,930.91","2,892.47","2,912.43"
04/29/2020,"2,918.46","2,954.86","2,912.16","2,939.51"
04/28/2020,"2,909.96","2,921.15","2,860.71","2,863.39"
04/27/2020,"2,854.65","2,887.72","2,852.89","2,878.48"
04/24/2020,"2,812.64","2,842.71","2,791.76","2,836.74"
04/23/2020,"2,810.42","2,844.90","2,794.26","2,797.80"
04/22/2020,"2,787.89","2,815.10","2,775.95","2,799.31"
04/21/2020,"2,784.81","2,785.54","2,727.10","2,736.56"
04/20/2020,"2,845.62","2,868.98","2,820.43","2,823.16"
04/17/2020,"2,842.43","2,879.22","2,830.88","2,874.56"
04/16/2020,"2,799.34","2,806.51","2,764.32","2,799.55"
04/15/2020,"2,795.64","2,801.88","2,761.54","2,783.36"
04/14/2020,"2,805.10","2,851.85","2,805.10","2,846.06"
04/13/2020,"2,782.46","2,782.46","2,721.17","2,761.63"
04-09-2020,"2,776.99","2,818.57","2,762.36","2,789.82"
04-08-2020,"2,685.00","2,760.75","2,663.30","2,749.98"
04-07-2020,"2,738.65","2,756.89","2,657.67","2,659.41"
04-06-2020,"2,578.28","2,676.85","2,574.57","2,663.68"
04-03-2020,"2,514.92","2,538.18","2,459.96","2,488.65"
04-02-2020,"2,458.54","2,533.22","2,455.79","2,526.90"
04-01-2020,"2,498.08","2,522.75","2,447.49","2,470.50"
03/31/2020,"2,614.69","2,641.39","2,571.15","2,584.59"
03/30/2020,"2,558.98","2,631.80","2,545.28","2,626.65"
03/27/2020,"2,555.87","2,615.91","2,520.02","2,541.47"
03/26/2020,"2,501.29","2,637.01","2,500.72","2,630.07"
03/25/2020,"2,457.77","2,571.42","2,407.53","2,475.56"
03/24/2020,"2,344.44","2,449.71","2,344.44","2,447.33"
03/23/2020,"2,290.71","2,300.73","2,191.86","2,237.40"
03/20/2020,"2,431.94","2,453.01","2,295.56","2,304.92"
03/19/2020,"2,393.48","2,466.97","2,319.78","2,409.39"
03/18/2020,"2,436.50","2,453.57","2,280.52","2,398.10"
03/17/2020,"2,425.66","2,553.93","2,367.04","2,529.19"
03/16/2020,"2,508.59","2,562.98","2,380.94","2,386.13"
03/13/2020,"2,569.99","2,711.33","2,492.37","2,711.02"
03-12-2020,"2,630.86","2,660.95","2,478.86","2,480.64"
03-11-2020,"2,825.60","2,825.60","2,707.22","2,741.38"
03-10-2020,"2,813.48","2,882.59","2,734.00","2,882.23"
03-09-2020,"2,863.89","2,863.89","2,734.43","2,746.56"
03-06-2020,"2,954.20","2,985.93","2,901.54","2,972.37"
03-05-2020,"3,075.70","3,083.04","2,999.83","3,023.94"
03-04-2020,"3,045.75","3,130.97","3,034.38","3,130.12"
03-03-2020,"3,096.46","3,136.72","2,976.63","3,003.37"
03-02-2020,"2,974.28","3,090.96","2,945.19","3,090.23"
02/28/2020,"2,916.90","2,959.72","2,855.84","2,954.22"
02/27/2020,"3,062.54","3,097.07","2,977.39","2,978.76"
02/26/2020,"3,139.90","3,182.51","3,108.99","3,116.39"
02/25/2020,"3,238.94","3,246.99","3,118.77","3,128.21"
02/24/2020,"3,257.61","3,259.81","3,214.65","3,225.89"
02/21/2020,"3,360.50","3,360.76","3,328.45","3,337.75"
02/20/2020,"3,380.45","3,389.15","3,341.02","3,373.23"
02/19/2020,"3,380.39","3,393.52","3,378.83","3,386.15"
02/18/2020,"3,369.04","3,375.01","3,355.61","3,370.29"
02/14/2020,"3,378.08","3,380.69","3,366.15","3,380.16"
02/13/2020,"3,365.90","3,385.09","3,360.52","3,373.94"
02-12-2020,"3,370.50","3,381.47","3,369.72","3,379.45"
02-11-2020,"3,365.87","3,375.63","3,352.72","3,357.75"
02-10-2020,"3,318.28","3,352.26","3,317.77","3,352.09"
02-07-2020,"3,335.54","3,341.42","3,322.12","3,327.71"
02-06-2020,"3,344.92","3,347.96","3,334.39","3,345.78"
02-05-2020,"3,324.91","3,337.58","3,313.75","3,334.69"
02-04-2020,"3,280.61","3,306.92","3,280.61","3,297.59"
02-03-2020,"3,235.66","3,268.44","3,235.66","3,248.92"
01/31/2020,"3,282.33","3,282.33","3,214.68","3,225.52"
01/30/2020,"3,256.45","3,285.91","3,242.80","3,283.66"
01/29/2020,"3,289.46","3,293.47","3,271.89","3,273.40"
01/28/2020,"3,255.35","3,285.78","3,253.22","3,276.24"
01/27/2020,"3,247.16","3,258.85","3,234.50","3,243.63"
01/24/2020,"3,333.10","3,333.18","3,281.53","3,295.47"
01/23/2020,"3,315.77","3,326.88","3,301.87","3,325.54"
01/22/2020,"3,330.02","3,337.77","3,320.04","3,321.75"
01/21/2020,"3,321.03","3,329.79","3,316.61","3,320.79"
01/17/2020,"3,323.66","3,329.88","3,318.86","3,329.62"
01/16/2020,"3,302.97","3,317.11","3,302.82","3,316.81"
01/15/2020,"3,282.27","3,298.66","3,280.69","3,289.29"
01/14/2020,"3,285.35","3,294.25","3,277.19","3,283.15"
01/13/2020,"3,271.13","3,288.13","3,268.43","3,288.13"
01-10-2020,"3,281.81","3,282.99","3,260.86","3,265.35"
01-09-2020,"3,266.03","3,275.58","3,263.67","3,274.70"
01-08-2020,"3,238.59","3,267.07","3,236.67","3,253.05"
01-07-2020,"3,241.86","3,244.91","3,232.43","3,237.18"
01-06-2020,"3,217.55","3,246.84","3,214.64","3,246.28"
01-03-2020,"3,226.36","3,246.15","3,222.34","3,234.85"
01-02-2020,"3,244.67","3,258.14","3,235.53","3,257.85"
12/31/2019,"3,215.18","3,231.72","3,212.03","3,230.78"
12/30/2019,"3,240.09","3,240.92","3,216.57","3,221.29"
12/27/2019,"3,247.23","3,247.93","3,234.37","3,240.02"
12/26/2019,"3,227.20","3,240.08","3,227.20","3,239.91"
12/24/2019,"3,225.45","3,226.43","3,220.51","3,223.38"
12/23/2019,"3,226.05","3,227.78","3,222.30","3,224.01"
12/20/2019,"3,223.33","3,225.65","3,216.03","3,221.22"
12/19/2019,"3,192.32","3,205.48","3,192.32","3,205.37"
12/18/2019,"3,195.21","3,198.48","3,191.14","3,191.14"
12/17/2019,"3,195.40","3,198.22","3,191.03","3,192.52"
12/16/2019,"3,183.63","3,197.71","3,183.63","3,191.45"
12/13/2019,"3,166.65","3,182.68","3,156.51","3,168.80"
12-12-2019,"3,141.23","3,176.28","3,138.47","3,168.57"
12-11-2019,"3,135.75","3,143.98","3,133.21","3,141.63"
12-10-2019,"3,135.36","3,142.12","3,126.09","3,132.52"
12-09-2019,"3,141.86","3,148.87","3,135.46","3,135.96"
12-06-2019,"3,134.62","3,150.60","3,134.62","3,145.91"
12-05-2019,"3,119.21","3,119.45","3,103.76","3,117.43"
12-04-2019,"3,103.50","3,119.38","3,102.53","3,112.76"
12-03-2019,"3,087.41","3,094.97","3,070.33","3,093.20"
12-02-2019,"3,143.85","3,144.31","3,110.78","3,113.87"
11/29/2019,"3,147.18","3,150.30","3,139.34","3,140.98"
11/27/2019,"3,145.49","3,154.26","3,143.41","3,153.63"
11/26/2019,"3,134.85","3,142.69","3,131.00","3,140.52"
11/25/2019,"3,117.44","3,133.83","3,117.44","3,133.64"
11/22/2019,"3,111.41","3,112.87","3,099.26","3,110.29"
11/21/2019,"3,108.49","3,110.11","3,094.55","3,103.54"
11/20/2019,"3,114.66","3,118.97","3,091.41","3,108.46"
11/19/2019,"3,127.45","3,127.64","3,113.47","3,120.18"
11/18/2019,"3,117.91","3,124.17","3,112.06","3,122.03"
11/15/2019,"3,107.92","3,120.46","3,104.60","3,120.46"
11/14/2019,"3,090.75","3,098.20","3,083.26","3,096.63"
11/13/2019,"3,084.18","3,098.06","3,078.80","3,094.04"
11-12-2019,"3,089.28","3,102.61","3,084.73","3,091.84"
11-11-2019,"3,080.33","3,088.33","3,075.82","3,087.01"
11-08-2019,"3,081.25","3,093.09","3,073.58","3,093.08"
11-07-2019,"3,087.02","3,097.77","3,080.23","3,085.18"
11-06-2019,"3,075.10","3,078.34","3,065.89","3,076.78"
11-05-2019,"3,080.80","3,083.95","3,072.15","3,074.62"
11-04-2019,"3,078.96","3,085.20","3,074.87","3,078.27"
11-01-2019,"3,050.72","3,066.95","3,050.72","3,066.91"
10/31/2019,"3,046.90","3,046.90","3,023.19","3,037.56"
10/30/2019,"3,039.74","3,050.10","3,025.96","3,046.77"
10/29/2019,"3,035.39","3,047.87","3,034.81","3,036.89"
10/28/2019,"3,032.12","3,044.08","3,032.12","3,039.42"
10/25/2019,"3,003.32","3,027.39","3,001.94","3,022.55"
10/24/2019,"3,014.78","3,016.07","3,000.42","3,010.29"
10/23/2019,"2,994.01","3,004.78","2,991.21","3,004.52"
10/22/2019,"3,010.73","3,014.57","2,995.04","2,995.99"
10/21/2019,"2,996.48","3,007.33","2,995.35","3,006.72"
10/18/2019,"2,996.84","3,000.00","2,976.31","2,986.20"
10/17/2019,"3,000.77","3,008.29","2,991.79","2,997.95"
10/16/2019,"2,989.68","2,997.54","2,985.20","2,989.69"
10/15/2019,"2,973.61","3,003.28","2,973.61","2,995.68"
10/14/2019,"2,965.81","2,972.84","2,962.94","2,966.15"
10-11-2019,"2,963.07","2,993.28","2,963.07","2,970.27"
10-10-2019,"2,918.55","2,948.46","2,917.12","2,938.13"
10-09-2019,"2,911.10","2,929.32","2,907.41","2,919.40"
10-08-2019,"2,920.40","2,925.47","2,892.66","2,893.06"
10-07-2019,"2,944.23","2,959.75","2,935.68","2,938.79"
10-04-2019,"2,918.56","2,953.74","2,918.56","2,952.01"
10-03-2019,"2,885.38","2,911.13","2,855.94","2,910.63"
10-02-2019,"2,924.78","2,924.78","2,874.93","2,887.61"
10-01-2019,"2,983.69","2,992.53","2,938.70","2,940.25"
